"TL","TR","who_region","ISO_A1","sCh"
"1970-01-01","1970-12-31","AFR","GHA","2733"
"1971-01-01","1971-12-31","AFR","GHA","13048"
"1972-01-01","1972-12-31","AFR","GHA","625"
"1973-01-01","1973-12-31","AFR","GHA","677"
"1974-01-01","1974-12-31","AFR","GHA","483"
"1975-01-01","1975-12-31","AFR","GHA","187"
"1976-01-01","1976-12-31","AFR","GHA","102"
"1977-01-01","1977-12-31","AFR","GHA","6565"
"1978-01-01","1978-12-31","AFR","GHA","1853"
"1979-01-01","1979-12-31","AFR","GHA","1783"
"1980-01-01","1980-12-31","AFR","GHA","260"
"1981-01-01","1981-12-31","AFR","GHA","943"
"1982-01-01","1982-12-31","AFR","GHA","11051"
"1983-01-01","1983-12-31","AFR","GHA","14160"
"1984-01-01","1984-12-31","AFR","GHA","1015"
"1985-01-01","1985-12-31","AFR","GHA","60"
"1990-01-01","1990-12-31","AFR","GHA","2937"
"1991-01-01","1991-12-31","AFR","GHA","13172"
"1992-01-01","1992-12-31","AFR","GHA","228"
"1993-01-01","1993-12-31","AFR","GHA","1448"
"1994-01-01","1994-12-31","AFR","GHA","2267"
"1995-01-01","1995-12-31","AFR","GHA","4698"
"1996-01-01","1996-12-31","AFR","GHA","1665"
"1997-01-01","1997-12-31","AFR","GHA","379"
"1998-01-01","1998-12-31","AFR","GHA","3426"
"1999-01-01","1999-12-31","AFR","GHA","9432"
"2000-01-01","2000-12-31","AFR","GHA","3331"
"2001-01-01","2001-12-31","AFR","GHA","5487"
"2002-01-01","2002-12-31","AFR","GHA","3614"
"2003-01-01","2003-12-31","AFR","GHA","204"
"2004-01-01","2004-12-31","AFR","GHA","407"
"2005-01-01","2005-12-31","AFR","GHA","3166"
"2006-01-01","2006-12-31","AFR","GHA","3357"
"2007-01-01","2007-12-31","AFR","GHA","179"
"2008-01-01","2008-12-31","AFR","GHA","1223"
"2009-01-01","2009-12-31","AFR","GHA","1294"
"2010-01-01","2010-12-31","AFR","GHA","438"
"2011-01-01","2011-12-31","AFR","GHA","10628"
"2012-01-01","2012-12-31","AFR","GHA","9548"
"2013-01-01","2013-12-31","AFR","GHA","50"
"2014-01-01","2014-12-31","AFR","GHA","28944"
"2015-01-01","2015-12-31","AFR","GHA","692"
