"TL","TR","who_region","ISO_A1","deaths"
"1970-01-01","1970-12-31","AFR","NGA","4"
"1971-01-01","1971-12-31","AFR","NGA","2945"
"1972-01-01","1972-12-31","AFR","NGA","96"
"1973-01-01","1973-12-31","AFR","NGA","27"
"1975-01-01","1975-12-31","AFR","NGA","1"
"1976-01-01","1976-12-31","AFR","NGA","25"
"1977-01-01","1977-12-31","AFR","NGA","10"
"1978-01-01","1978-12-31","AFR","NGA","20"
"1979-01-01","1979-12-31","AFR","NGA","4"
"1980-01-01","1980-12-31","AFR","NGA","25"
"1981-01-01","1981-12-31","AFR","NGA","18"
"1982-01-01","1982-12-31","AFR","NGA","18"
"1983-01-01","1983-12-31","AFR","NGA","2"
"1984-01-01","1984-12-31","AFR","NGA","185"
"1985-01-01","1985-12-31","AFR","NGA","0"
"1986-01-01","1986-12-31","AFR","NGA","23"
"1987-01-01","1987-12-31","AFR","NGA","111"
"1988-01-01","1988-12-31","AFR","NGA","10"
"1989-01-01","1989-12-31","AFR","NGA","61"
"1991-01-01","1991-12-31","AFR","NGA","7654"
"1992-01-01","1992-12-31","AFR","NGA","686"
"1993-01-01","1993-12-31","AFR","NGA","266"
"1994-01-01","1994-12-31","AFR","NGA","313"
"1995-01-01","1995-12-31","AFR","NGA","87"
"1996-01-01","1996-12-31","AFR","NGA","1193"
"1997-01-01","1997-12-31","AFR","NGA","134"
"1998-01-01","1998-12-31","AFR","NGA","187"
"1999-01-01","1999-12-31","AFR","NGA","2085"
"2000-01-01","2000-12-31","AFR","NGA","43"
"2001-01-01","2001-12-31","AFR","NGA","119"
"2002-01-01","2002-12-31","AFR","NGA","154"
"2003-01-01","2003-12-31","AFR","NGA","87"
"2004-01-01","2004-12-31","AFR","NGA","185"
"2005-01-01","2005-12-31","AFR","NGA","174"
"2006-01-01","2006-12-31","AFR","NGA","127"
"2007-01-01","2007-12-31","AFR","NGA","48"
"2008-01-01","2008-12-31","AFR","NGA","247"
"2009-01-01","2009-12-31","AFR","NGA","431"
"2010-01-01","2010-12-31","AFR","NGA","1712"
"2011-01-01","2011-12-31","AFR","NGA","742"
"2012-01-01","2012-12-31","AFR","NGA","18"
"2013-01-01","2013-12-31","AFR","NGA","229"
"2014-01-01","2014-12-31","AFR","NGA","755"
"2015-01-01","2015-12-31","AFR","NGA","186"
