TL,TR,who_region,ISO_A1,sCh
1973-01-01,1973-12-31,AFR,ZAF,1
1974-01-01,1974-12-31,AFR,ZAF,37
1979-01-01,1979-12-31,AFR,ZAF,2
1980-01-01,1980-12-31,AFR,ZAF,859
1981-01-01,1981-12-31,AFR,ZAF,4180
1982-01-01,1982-12-31,AFR,ZAF,11968
1983-01-01,1983-12-31,AFR,ZAF,4715
1984-01-01,1984-12-31,AFR,ZAF,1182
1985-01-01,1985-12-31,AFR,ZAF,2742
1986-01-01,1986-12-31,AFR,ZAF,120
1987-01-01,1987-12-31,AFR,ZAF,37
1991-01-01,1991-12-31,AFR,ZAF,10
1992-01-01,1992-12-31,AFR,ZAF,11
1993-01-01,1993-12-31,AFR,ZAF,78
1994-01-01,1994-12-31,AFR,ZAF,4
1998-01-01,1998-12-31,AFR,ZAF,20
1999-01-01,1999-12-31,AFR,ZAF,68
2000-01-01,2000-12-31,AFR,ZAF,19667
2001-01-01,2001-12-31,AFR,ZAF,106159
2002-01-01,2002-12-31,AFR,ZAF,10004
2003-01-01,2003-12-31,AFR,ZAF,3901
2004-01-01,2004-12-31,AFR,ZAF,2767
2005-01-01,2005-12-31,AFR,ZAF,3503
2006-01-01,2006-12-31,AFR,ZAF,0
2008-01-01,2008-12-31,AFR,ZAF,3841
2009-01-01,2009-12-31,AFR,ZAF,10520
2013-01-01,2013-12-31,AFR,ZAF,1
